Zeit,Kanal,Spannung,Strom,Leistung
27-09-2023 11:39:37,2,6.635  V,0.301  A,2.000  W
27-09-2023 11:39:37,3,0.000  V,0.000  A,0.000  W
27-09-2023 11:39:47,2,6.635  V,0.301  A,2.000  W
27-09-2023 11:39:47,3,0.000  V,0.000  A,0.000  W
27-09-2023 11:39:57,2,6.635  V,0.301  A,2.000  W
27-09-2023 11:39:57,3,0.000  V,0.000  A,0.000  W
27-09-2023 11:40:07,2,6.635  V,0.302  A,2.001  W
27-09-2023 11:40:07,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:40:17,2,6.635  V,0.302  A,2.001  W
27-09-2023 11:40:17,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:40:27,2,6.635  V,0.302  A,2.001  W
27-09-2023 11:40:27,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:40:37,2,6.635  V,0.302  A,2.001  W
27-09-2023 11:40:37,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:40:47,2,6.635  V,0.302  A,2.001  W
27-09-2023 11:40:47,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:40:57,2,6.635  V,0.302  A,2.001  W
27-09-2023 11:40:57,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:41:07,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:41:07,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:41:17,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:41:17,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:41:27,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:41:27,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:41:37,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:41:37,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:41:47,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:41:47,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:41:57,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:41:57,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:42:07,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:42:07,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:42:17,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:42:17,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:42:27,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:42:27,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:42:38,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:42:38,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:42:48,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:42:48,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:42:58,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:42:58,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:43:08,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:43:08,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:43:18,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:43:18,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:43:28,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:43:28,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:43:38,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:43:38,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:43:48,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:43:48,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:43:58,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:43:58,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:44:08,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:44:08,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:44:18,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:44:18,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:44:28,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:44:28,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:44:38,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:44:38,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:44:48,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:44:48,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:44:58,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:44:58,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:45:08,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:45:08,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:45:18,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:45:18,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:45:28,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:45:28,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:45:38,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:45:38,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:45:49,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:45:49,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:45:59,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:45:59,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:46:09,2,6.633  V,0.301  A,2.000  W
27-09-2023 11:46:09,3,8.124  V,0.000  A,0.001  W
